#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-02T18:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dbdc9ad607b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/810/71&tab:{J/ApJ/810/71/table3}&key:source=J/ApJ/810/71&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/71/table3
#-order=I
#-out=ID
#-out=HRG14
#-out=RAJ2000
#-out=DEJ2000
#-out=zphot
#-out=b_zphot
#-out=B_zphot
#-out=1500Mag
#-out=b_1500Mag
#-out=B_1500Mag
#

#RESOURCE=yCat_18100071
#Name: J/ApJ/810/71
#Title: UV mag of candidate galaxies at 3~<z~<8.5 (Finkelstein+, 2015)
#Table	J_ApJ_810_71_table3:
#Name: J/ApJ/810/71/table3
#Title: Catalog of candidate galaxies at 3.5~<z~<8.5
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(a19)	Catalog identifier	[ucd=meta.id]
#Column	HRG14	(A25)	IAU designation (JHHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zphot	(F5.2)	[2.8/8.4] Photometric redshift	[ucd=src.redshift]
#Column	b_zphot	(F5.2)	[0.2/8] Lower 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	B_zphot	(F5.2)	[3.5/9.7] Upper 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	1500Mag	(F6.2)	[-22.8/-15.4] Absolute AB magnitude at 1500 Angstroms	[ucd=phys.magAbs]
#Column	b_1500Mag	(F6.2)	[-23/-16] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
#Column	B_1500Mag	(F6.2)	[-22.7/-15] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
_RAJ2000;_DEJ2000;ID;HRG14;RAJ2000;DEJ2000;zphot;b_zphot;B_zphot;1500Mag;b_1500Mag;B_1500Mag
053.05455389;-27.85007694;z4_GSD_31791       ;HRG14 J033213.09-275100.3;053.054554;-27.850077; 3.99; 3.50; 4.18;-19.46;-19.60;-19.18
053.21453500;-27.80748000;z4_GSD_18828       ;HRG14 J033251.49-274826.9;053.214535;-27.807480; 3.99; 3.80; 4.17;-19.79;-19.88;-19.59
053.10275306;-27.80926111;z4_GSD_19267       ;HRG14 J033224.66-274833.3;053.102753;-27.809261; 4.00; 0.49; 4.20;-19.54;-19.70;-19.33
053.19926111;-27.73761000;z4_GSD_521         ;HRG14 J033247.82-274415.4;053.199261;-27.737610; 4.00; 3.58; 4.14;-20.50;-20.62;-20.36
053.20153389;-27.79540111;z4_GSD_14810       ;HRG14 J033248.37-274743.4;053.201534;-27.795401; 4.00; 0.47; 4.19;-19.98;-20.05;-19.74
053.08421694;-27.87181500;z4_GSD_35547       ;HRG14 J033220.21-275218.5;053.084217;-27.871815; 4.01; 0.51; 4.17;-18.88;-19.02;-18.51
053.05330694;-27.80188000;z4_GSD_16941       ;HRG14 J033212.79-274806.8;053.053307;-27.801880; 4.01; 3.59; 4.28;-19.64;-19.80;-19.42
053.06325889;-27.83787000;z4_GSD_28604       ;HRG14 J033215.18-275016.3;053.063259;-27.837870; 4.01; 0.55; 4.27;-18.37;-18.54;-17.86
053.19804000;-27.74435806;z4_GSD_1211        ;HRG14 J033247.53-274439.7;053.198040;-27.744358; 4.01; 3.01; 4.32;-18.91;-19.08;-18.55
053.12968111;-27.75660889;z4_GSD_3227        ;HRG14 J033231.12-274523.8;053.129681;-27.756609; 4.01; 3.60; 4.18;-19.04;-19.18;-18.77
053.05442000;-27.81171389;z4_GSD_19461       ;HRG14 J033213.06-274842.2;053.054420;-27.811714; 4.01; 3.83; 4.18;-19.45;-19.58;-19.31
053.06015806;-27.84588389;z4_GSD_30784       ;HRG14 J033214.44-275045.2;053.060158;-27.845884; 4.01; 0.94; 4.28;-17.85;-18.03;-17.26
053.16239889;-27.84285694;z4_GSD_29919       ;HRG14 J033238.98-275034.3;053.162399;-27.842857; 4.01; 3.72; 4.15;-19.87;-19.95;-19.68
053.09625194;-27.81456806;z4_GSD_20627       ;HRG14 J033223.10-274852.4;053.096252;-27.814568; 4.01; 0.56; 4.24;-19.73;-19.97;-19.47
053.10443889;-27.80540694;z4_GSD_17071       ;HRG14 J033225.07-274819.5;053.104439;-27.805407; 4.01; 0.59; 4.24;-19.71;-19.86;-19.29
053.10504194;-27.76017000;z4_GSD_4030        ;HRG14 J033225.21-274536.6;053.105042;-27.760170; 4.01; 3.83; 4.15;-19.49;-19.54;-19.30
053.06844694;-27.79992694;z4_GSD_16348       ;HRG14 J033216.43-274759.7;053.068447;-27.799927; 4.01; 3.58; 4.30;-18.30;-18.51;-17.97
053.10924500;-27.75412194;z4_GSD_2616        ;HRG14 J033226.22-274514.8;053.109245;-27.754122; 4.01; 3.62; 4.18;-20.17;-20.21;-19.81
053.10446194;-27.86469306;z4_GSD_34629       ;HRG14 J033225.07-275152.9;053.104462;-27.864693; 4.01; 0.79; 4.28;-17.96;-18.29;-17.64
053.14923111;-27.82860889;z4_GSD_25501       ;HRG14 J033235.82-274943.0;053.149231;-27.828609; 4.01; 0.64; 4.24;-17.70;-18.03;-17.22
053.04888889;-27.84070194;z4_GSD_29393       ;HRG14 J033211.73-275026.5;053.048889;-27.840702; 4.02; 3.61; 4.22;-19.68;-19.89;-19.58
053.20418500;-27.81721694;z4_GSD_21853       ;HRG14 J033249.00-274902.0;053.204185;-27.817217; 4.02; 3.84; 4.17;-19.87;-19.97;-19.67
053.16411194;-27.75970806;z4_GSD_3948        ;HRG14 J033239.39-274535.0;053.164112;-27.759708; 4.02; 1.04; 4.18;-19.75;-19.91;-19.23
053.10519806;-27.76634806;z4_GSD_5393        ;HRG14 J033225.25-274558.9;053.105198;-27.766348; 4.02; 3.86; 4.15;-20.40;-20.49;-20.27
053.05518306;-27.83242000;z4_GSD_26756       ;HRG14 J033213.24-274956.7;053.055183;-27.832420; 4.02; 3.28; 4.25;-18.93;-19.19;-18.66
053.06046694;-27.83737889;z4_GSD_28435       ;HRG14 J033214.51-275014.6;053.060467;-27.837379; 4.02; 3.30; 4.26;-19.03;-19.26;-18.57
053.20159111;-27.74333806;z4_GSD_1071        ;HRG14 J033248.38-274436.0;053.201591;-27.743338; 4.02; 3.31; 4.14;-20.21;-20.30;-19.98
053.19086111;-27.75445611;z4_GSD_2755        ;HRG14 J033245.81-274516.0;053.190861;-27.754456; 4.02; 3.86; 4.15;-19.97;-20.06;-19.85
053.14330694;-27.83415194;z4_GSD_27339       ;HRG14 J033234.39-275002.9;053.143307;-27.834152; 4.02; 0.41; 4.16;-20.39;-20.57;-20.10
053.14904389;-27.82239000;z4_GSD_23382       ;HRG14 J033235.77-274920.6;053.149044;-27.822390; 4.02; 3.83; 4.19;-19.15;-19.33;-19.04
053.19277194;-27.83447500;z4_GSD_27508       ;HRG14 J033246.27-275004.1;053.192772;-27.834475; 4.03; 0.71; 4.24;-17.83;-18.01;-17.05
053.16590889;-27.80703000;z4_GSD_18560       ;HRG14 J033239.82-274825.3;053.165909;-27.807030; 4.03; 3.32; 4.26;-18.91;-19.16;-18.55
053.23370389;-27.82652694;z4_GSD_24829       ;HRG14 J033256.09-274935.5;053.233704;-27.826527; 4.03; 3.66; 4.40;-18.74;-18.85;-18.27
053.10954306;-27.78752111;z4_GSD_12209       ;HRG14 J033226.29-274715.1;053.109543;-27.787521; 4.03; 0.63; 4.25;-19.14;-19.30;-18.81
053.02544389;-27.79346806;z4_GSD_14201       ;HRG14 J033206.11-274736.5;053.025444;-27.793468; 4.03; 3.64; 4.23;-19.38;-19.51;-19.18
053.07326111;-27.80191611;z4_GSD_16572       ;HRG14 J033217.58-274806.9;053.073261;-27.801916; 4.03; 3.51; 4.20;-19.06;-19.18;-18.80
053.23272306;-27.82065389;z4_GSD_22917       ;HRG14 J033255.85-274914.4;053.232723;-27.820654; 4.03; 0.70; 4.76;-18.93;-19.22;-18.42
053.15347306;-27.82139194;z4_GSD_23146       ;HRG14 J033236.83-274917.0;053.153473;-27.821392; 4.03; 3.82; 4.18;-20.27;-20.36;-20.10
053.21218500;-27.77144806;z4_GSD_6866        ;HRG14 J033250.92-274617.2;053.212185;-27.771448; 4.04; 0.62; 4.36;-18.22;-18.44;-17.64
053.09140806;-27.80843194;z4_GSD_19031       ;HRG14 J033221.94-274830.4;053.091408;-27.808432; 4.04; 0.53; 4.21;-18.18;-18.34;-17.66
053.14874611;-27.84006889;z4_GSD_29247       ;HRG14 J033235.70-275024.2;053.148746;-27.840069; 4.04; 0.55; 4.22;-17.99;-18.34;-17.40
053.10690306;-27.75500500;z4_GSD_2916        ;HRG14 J033225.66-274518.0;053.106903;-27.755005; 4.04; 3.50; 4.29;-18.52;-18.84;-18.33
053.18566500;-27.77319500;z4_GSD_7337        ;HRG14 J033244.56-274623.5;053.185665;-27.773195; 4.04; 3.84; 4.17;-20.38;-20.48;-20.24
053.10771194;-27.75548694;z4_GSD_2998        ;HRG14 J033225.85-274519.8;053.107712;-27.755487; 4.04; 1.97; 4.49;-17.46;-17.72;-16.81
053.07929611;-27.86477889;z4_GSD_34634       ;HRG14 J033219.03-275153.2;053.079296;-27.864779; 4.05; 0.58; 4.37;-18.36;-18.66;-17.71
053.08020806;-27.79179389;z4_GSD_13647       ;HRG14 J033219.25-274730.5;053.080208;-27.791794; 4.05; 3.85; 4.24;-19.46;-19.55;-19.21
053.11575306;-27.85157389;z4_GSD_32151       ;HRG14 J033227.78-275105.7;053.115753;-27.851574; 4.05; 3.58; 4.24;-19.58;-19.65;-19.22
053.12004111;-27.85454000;z4_GSD_32781       ;HRG14 J033228.81-275116.3;053.120041;-27.854540; 4.05; 0.60; 4.22;-20.45;-20.59;-20.25
053.15565111;-27.74347306;z4_GSD_1083        ;HRG14 J033237.36-274436.5;053.155651;-27.743473; 4.05; 0.55; 4.22;-18.51;-18.59;-17.94
053.23122389;-27.82092111;z4_GSD_22988       ;HRG14 J033255.49-274915.3;053.231224;-27.820921; 4.05; 3.90; 4.20;-20.57;-20.65;-20.35
053.17841000;-27.82124889;z4_GSD_23116       ;HRG14 J033242.82-274916.5;053.178410;-27.821249; 4.05; 0.81; 4.22;-19.29;-19.42;-19.02
053.09641306;-27.77434889;z4_GSD_7767        ;HRG14 J033223.14-274627.7;053.096413;-27.774349; 4.05; 0.65; 4.38;-18.37;-18.65;-17.88
053.10104389;-27.78022389;z4_GSD_9633        ;HRG14 J033224.25-274648.8;053.101044;-27.780224; 4.05; 3.88; 4.21;-19.77;-19.82;-19.56
053.13419000;-27.81627806;z4_GSD_21537       ;HRG14 J033232.21-274858.6;053.134190;-27.816278; 4.05; 3.84; 4.23;-19.68;-19.78;-19.48
053.14218889;-27.80628611;z4_GSD_18357       ;HRG14 J033234.13-274822.6;053.142189;-27.806286; 4.05; 0.54; 4.14;-19.41;-19.51;-18.86
053.11167500;-27.83064500;z4_GSD_26169       ;HRG14 J033226.80-274950.3;053.111675;-27.830645; 4.05; 1.00; 4.30;-18.64;-18.90;-18.37
053.04540306;-27.79050306;z4_GSD_13184       ;HRG14 J033210.90-274725.8;053.045403;-27.790503; 4.05; 0.50; 4.19;-19.37;-19.58;-19.01
053.09989889;-27.81670806;z4_GSD_21700       ;HRG14 J033223.98-274900.1;053.099899;-27.816708; 4.06; 3.76; 4.31;-18.54;-18.67;-18.25
053.12960806;-27.75781111;z4_GSD_3497        ;HRG14 J033231.11-274528.1;053.129608;-27.757811; 4.06; 3.54; 4.23;-19.60;-19.82;-19.43
053.22121389;-27.83292611;z4_GSD_26892       ;HRG14 J033253.09-274958.5;053.221214;-27.832926; 4.06; 3.85; 4.24;-20.75;-20.84;-20.59
053.19209694;-27.74041889;z4_GSD_748         ;HRG14 J033246.10-274425.5;053.192097;-27.740419; 4.06; 3.12; 4.28;-18.80;-18.94;-18.37
053.12165111;-27.79447889;z4_GSD_14515       ;HRG14 J033229.20-274740.1;053.121651;-27.794479; 4.06; 0.61; 4.32;-18.67;-18.92;-18.24
053.03992111;-27.77287111;z4_GSD_7281        ;HRG14 J033209.58-274622.3;053.039921;-27.772871; 4.06; 0.50; 4.34;-19.02;-19.25;-18.67
053.14319611;-27.83409306;z4_GSD_27338       ;HRG14 J033234.37-275002.7;053.143196;-27.834093; 4.06; 0.41; 4.23;-20.22;-20.29;-19.94
053.13625694;-27.81032889;z4_GSD_19633       ;HRG14 J033232.70-274837.2;053.136257;-27.810329; 4.06; 3.91; 4.19;-19.66;-19.72;-19.52
053.13471611;-27.80870389;z4_GSD_19121       ;HRG14 J033232.33-274831.3;053.134716;-27.808704; 4.06; 0.72; 4.25;-18.08;-18.22;-17.79
053.08864611;-27.79110889;z4_GSD_13401       ;HRG14 J033221.28-274728.0;053.088646;-27.791109; 4.07; 0.88; 4.38;-17.92;-18.06;-17.39
053.04436111;-27.77870611;z4_GSD_9770        ;HRG14 J033210.65-274643.3;053.044361;-27.778706; 4.07; 3.63; 4.35;-18.64;-18.85;-18.33
053.18068306;-27.84493111;z4_GSD_30528       ;HRG14 J033243.36-275041.8;053.180683;-27.844931; 4.07; 3.89; 4.20;-20.32;-20.42;-20.21
053.15941194;-27.75279194;z4_GSD_2457        ;HRG14 J033238.26-274510.1;053.159412;-27.752792; 4.07; 3.55; 4.34;-18.23;-18.34;-17.83
053.18741611;-27.79947500;z4_GSD_16187       ;HRG14 J033244.98-274758.1;053.187416;-27.799475; 4.08; 3.61; 4.24;-20.14;-20.20;-19.90
053.05409194;-27.81139806;z4_GSD_19459       ;HRG14 J033212.98-274841.0;053.054092;-27.811398; 4.08; 3.99; 4.17;-21.38;-21.39;-21.29
053.14246389;-27.82295000;z4_GSD_23638       ;HRG14 J033234.19-274922.6;053.142464;-27.822950; 4.08; 3.78; 4.25;-19.95;-20.08;-19.80
053.07296000;-27.80193500;z4_GSD_16575       ;HRG14 J033217.51-274807.0;053.072960;-27.801935; 4.08; 0.51; 4.26;-19.21;-19.32;-18.63
053.04149611;-27.79331611;z4_GSD_14129       ;HRG14 J03329.96-274735.9 ;053.041496;-27.793316; 4.08; 0.55; 4.31;-20.36;-20.54;-20.17
053.19425611;-27.77007694;z4_GSD_6477        ;HRG14 J033246.62-274612.3;053.194256;-27.770077; 4.09; 0.54; 4.26;-19.24;-19.35;-18.82
053.11634111;-27.85707694;z4_GSD_33328       ;HRG14 J033227.92-275125.5;053.116341;-27.857077; 4.09; 3.59; 4.25;-19.28;-19.41;-19.09
053.17462194;-27.83516889;z4_GSD_27714       ;HRG14 J033241.91-275006.6;053.174622;-27.835169; 4.09; 0.38; 4.29;-19.22;-19.43;-18.88
053.22434611;-27.82433694;z4_GSD_24074       ;HRG14 J033253.84-274927.6;053.224346;-27.824337; 4.09; 2.69; 4.25;-18.81;-19.03;-18.34
053.18700806;-27.75225389;z4_GSD_2333        ;HRG14 J033244.88-274508.1;053.187008;-27.752254; 4.09; 2.48; 4.31;-18.37;-18.72;-17.90
053.06244694;-27.79158611;z4_GSD_13953       ;HRG14 J033214.99-274729.7;053.062447;-27.791586; 4.09; 3.67; 4.36;-18.67;-18.77;-18.30
053.02873194;-27.78593306;z4_GSD_11629       ;HRG14 J033206.90-274709.4;053.028732;-27.785933; 4.09; 3.54; 4.34;-18.64;-18.83;-18.33
053.13764194;-27.79989806;z4_GSD_16259       ;HRG14 J033233.03-274759.6;053.137642;-27.799898; 4.10; 0.40; 4.18;-20.65;-20.65;-20.16
053.12896000;-27.75185000;z4_GSD_2286        ;HRG14 J033230.95-274506.7;053.128960;-27.751850; 4.10; 0.63; 4.27;-19.44;-19.57;-19.02
053.04838889;-27.79720111;z4_GSD_15211       ;HRG14 J033211.61-274749.9;053.048389;-27.797201; 4.10; 3.60; 4.28;-20.14;-20.22;-19.95
053.06435000;-27.81327611;z4_GSD_20593       ;HRG14 J033215.44-274847.8;053.064350;-27.813276; 4.10; 3.58; 4.31;-19.91;-20.11;-19.67
053.11691694;-27.80275694;z4_GSD_17212       ;HRG14 J033228.06-274809.9;053.116917;-27.802757; 4.10; 3.88; 4.25;-19.48;-19.66;-19.34
053.07666806;-27.86796389;z4_GSD_35092       ;HRG14 J033218.40-275204.7;053.076668;-27.867964; 4.10; 0.58; 4.26;-19.10;-19.20;-18.71
053.02739000;-27.79285000;z4_GSD_13992       ;HRG14 J033206.57-274734.3;053.027390;-27.792850; 4.10; 3.94; 4.23;-19.41;-19.48;-19.22
053.10948194;-27.75797306;z4_GSD_3542        ;HRG14 J033226.28-274528.7;053.109482;-27.757973; 4.10; 0.75; 4.29;-18.67;-18.89;-18.38
053.19802111;-27.75994694;z4_GSD_4000        ;HRG14 J033247.53-274535.8;053.198021;-27.759947; 4.10; 0.97; 4.35;-18.57;-18.93;-18.40
053.09095000;-27.75547000;z4_GSD_3019        ;HRG14 J033221.83-274519.7;053.090950;-27.755470; 4.10; 0.62; 4.38;-18.27;-18.53;-17.93
053.18936500;-27.75768889;z4_GSD_3469        ;HRG14 J033245.45-274527.7;053.189365;-27.757689; 4.10; 3.85; 4.26;-20.21;-20.30;-20.07
053.12913111;-27.80109194;z4_GSD_16711       ;HRG14 J033230.99-274803.9;053.129131;-27.801092; 4.11; 3.83; 4.25;-19.80;-19.92;-19.60
053.17634611;-27.75269694;z4_GSD_2417        ;HRG14 J033242.32-274509.7;053.176346;-27.752697; 4.11; 0.51; 4.33;-19.10;-19.31;-18.78
053.21306611;-27.78919389;z4_GSD_12971       ;HRG14 J033251.14-274721.1;053.213066;-27.789194; 4.11; 3.59; 4.31;-19.02;-19.28;-18.83
053.04514694;-27.81956306;z4_GSD_22577       ;HRG14 J033210.84-274910.4;053.045147;-27.819563; 4.11; 0.62; 4.24;-19.56;-19.67;-19.15
053.05295194;-27.78893111;z4_GSD_12659       ;HRG14 J033212.71-274720.2;053.052952;-27.788931; 4.11; 0.53; 4.22;-18.87;-19.03;-18.44
053.02755694;-27.79658306;z4_GSD_15152       ;HRG14 J033206.61-274747.7;053.027557;-27.796583; 4.11; 4.04; 4.24;-21.78;-21.89;-21.74
053.21281806;-27.82140694;z4_GSD_23163       ;HRG14 J033251.08-274917.1;053.212818;-27.821407; 4.11; 0.56; 4.33;-18.60;-18.71;-18.04
053.16890306;-27.74003389;z4_GSD_720         ;HRG14 J033240.54-274424.1;053.168903;-27.740034; 4.11; 3.82; 4.27;-19.35;-19.48;-19.19
053.06469694;-27.77774611;z4_GSD_8826        ;HRG14 J033215.53-274639.9;053.064697;-27.777746; 4.11; 0.71; 5.10;-18.65;-19.26;-18.17
053.12006000;-27.78291500;z4_GSD_10579       ;HRG14 J033228.81-274658.5;053.120060;-27.782915; 4.12; 0.46; 4.36;-18.33;-18.47;-17.99
053.20939611;-27.78071194;z4_GSD_9829        ;HRG14 J033250.26-274650.6;053.209396;-27.780712; 4.12; 0.49; 4.32;-18.83;-18.99;-18.40
053.04014611;-27.80384611;z4_GSD_17575       ;HRG14 J033209.64-274813.8;053.040146;-27.803846; 4.12; 3.99; 4.27;-20.25;-20.36;-20.16
053.15499889;-27.84055306;z4_GSD_29359       ;HRG14 J033237.20-275026.0;053.154999;-27.840553; 4.12; 0.63; 4.22;-19.42;-19.46;-19.06
053.06472000;-27.82688889;z4_GSD_24895       ;HRG14 J033215.53-274936.8;053.064720;-27.826889; 4.12; 0.66; 4.29;-19.06;-19.25;-18.77
053.20494500;-27.81355500;z4_GSD_20698       ;HRG14 J033249.19-274848.8;053.204945;-27.813555; 4.12; 3.80; 4.35;-19.35;-19.56;-19.15
053.18475000;-27.76110306;z4_GSD_4628        ;HRG14 J033244.34-274540.0;053.184750;-27.761103; 4.12; 0.37; 4.21;-19.28;-19.43;-18.93
053.10426694;-27.78371389;z4_GSD_10819       ;HRG14 J033225.02-274701.4;053.104267;-27.783714; 4.12; 3.49; 4.27;-18.98;-19.19;-18.78
053.14212806;-27.74818806;z4_GSD_1687        ;HRG14 J033234.11-274453.5;053.142128;-27.748188; 4.12; 0.70; 4.24;-19.74;-19.84;-19.46
053.17004000;-27.83323306;z4_GSD_27034       ;HRG14 J033240.81-274959.6;053.170040;-27.833233; 4.13; 3.69; 4.28;-19.68;-19.75;-19.44
053.23045306;-27.82400306;z4_GSD_23991       ;HRG14 J033255.31-274926.4;053.230453;-27.824003; 4.13; 3.78; 4.38;-19.13;-19.37;-18.96
053.03617889;-27.80251694;z4_GSD_17106       ;HRG14 J033208.68-274809.1;053.036179;-27.802517; 4.13; 0.55; 4.27;-19.81;-19.90;-19.55
053.16151000;-27.73990806;z4_GSD_710         ;HRG14 J033238.76-274423.7;053.161510;-27.739908; 4.13; 3.73; 4.28;-19.26;-19.33;-19.00
053.08342389;-27.83098000;z4_GSD_26290       ;HRG14 J033220.02-274951.5;053.083424;-27.830980; 4.13; 0.69; 4.35;-19.14;-19.26;-18.74
053.16136611;-27.73702611;z4_GSD_480         ;HRG14 J033238.73-274413.3;053.161366;-27.737026; 4.13; 3.92; 4.33;-20.89;-20.98;-20.74
053.21756694;-27.78584889;z4_GSD_11579       ;HRG14 J033252.22-274709.1;053.217567;-27.785849; 4.13; 0.44; 4.21;-20.25;-20.26;-19.85
053.15839000;-27.74083500;z4_GSD_790         ;HRG14 J033238.01-274427.0;053.158390;-27.740835; 4.13; 3.79; 4.35;-19.11;-19.31;-18.97
053.04909500;-27.85228306;z4_GSD_32281       ;HRG14 J033211.78-275108.2;053.049095;-27.852283; 4.13; 3.98; 4.28;-20.87;-20.95;-20.73
053.05841806;-27.87502306;z4_GSD_35857       ;HRG14 J033214.02-275230.1;053.058418;-27.875023; 4.13; 0.47; 4.29;-19.80;-19.98;-19.49
053.18996806;-27.77029611;z4_GSD_6522        ;HRG14 J033245.59-274613.1;053.189968;-27.770296; 4.13; 3.72; 4.29;-19.74;-19.80;-19.50
053.12514111;-27.84923389;z4_GSD_31422       ;HRG14 J033230.03-275057.2;053.125141;-27.849234; 4.13; 0.23; 4.30;-19.30;-19.42;-18.90
053.10445000;-27.86725000;z4_GSD_34993       ;HRG14 J033225.07-275202.1;053.104450;-27.867250; 4.14; 3.91; 4.26;-20.02;-20.09;-19.81
053.03702500;-27.81893500;z4_GSD_22387       ;HRG14 J033208.89-274908.2;053.037025;-27.818935; 4.14; 3.96; 4.22;-20.29;-20.36;-20.20
053.02204889;-27.77829889;z4_GSD_8979        ;HRG14 J033205.29-274641.9;053.022049;-27.778299; 4.14; 0.83; 4.58;-18.50;-18.94;-17.81
053.07228500;-27.78826694;z4_GSD_12469       ;HRG14 J033217.35-274717.8;053.072285;-27.788267; 4.14; 3.26; 4.38;-19.06;-19.19;-18.60
053.22864500;-27.82284694;z4_GSD_23616       ;HRG14 J033254.87-274922.3;053.228645;-27.822847; 4.14; 3.33; 4.44;-19.04;-19.33;-18.69
053.21599194;-27.78945889;z4_GSD_12856       ;HRG14 J033251.84-274722.1;053.215992;-27.789459; 4.14; 3.86; 4.25;-19.62;-19.68;-19.40
053.17985500;-27.82466306;z4_GSD_24166       ;HRG14 J033243.17-274928.8;053.179855;-27.824663; 4.15; 0.48; 4.25;-18.62;-18.69;-18.02
053.05432500;-27.78899611;z4_GSD_12690       ;HRG14 J033213.04-274720.4;053.054325;-27.788996; 4.15; 3.77; 4.58;-18.72;-19.00;-18.41
053.05524806;-27.78297611;z4_GSD_10608       ;HRG14 J033213.26-274658.7;053.055248;-27.782976; 4.15; 0.73; 4.43;-18.07;-18.23;-17.74
053.19358111;-27.81524306;z4_GSD_21177       ;HRG14 J033246.46-274854.9;053.193581;-27.815243; 4.15; 3.93; 4.27;-20.03;-20.07;-19.82
053.13480000;-27.85014694;z4_GSD_31621       ;HRG14 J033232.35-275100.5;053.134800;-27.850147; 4.15; 0.70; 4.37;-20.00;-20.24;-19.74
053.06638000;-27.86963694;z4_GSD_35458       ;HRG14 J033215.93-275210.7;053.066380;-27.869637; 4.15; 3.57; 4.34;-21.29;-21.45;-21.16
053.09691194;-27.78331000;z4_GSD_10688       ;HRG14 J033223.26-274659.9;053.096912;-27.783310; 4.15; 3.42; 4.38;-19.13;-19.21;-18.62
053.10820389;-27.77713806;z4_GSD_8618        ;HRG14 J033225.97-274637.7;053.108204;-27.777138; 4.15; 0.50; 4.29;-18.92;-19.03;-18.54
053.05943306;-27.84823611;z4_GSD_31381       ;HRG14 J033214.26-275053.6;053.059433;-27.848236; 4.16; 2.98; 4.31;-19.26;-19.32;-18.85
053.14533194;-27.85492111;z4_GSD_32855       ;HRG14 J033234.88-275117.7;053.145332;-27.854921; 4.16; 3.93; 4.28;-19.54;-19.69;-19.43
053.10956194;-27.86923389;z4_GSD_35262       ;HRG14 J033226.29-275209.2;053.109562;-27.869234; 4.16; 3.97; 4.29;-20.38;-20.53;-20.28
053.07812889;-27.86846500;z4_GSD_35154       ;HRG14 J033218.75-275206.5;053.078129;-27.868465; 4.16; 0.94; 4.37;-18.99;-19.20;-18.70
053.19017806;-27.76913806;z4_GSD_6191        ;HRG14 J033245.64-274608.9;053.190178;-27.769138; 4.16; 3.48; 4.50;-18.00;-18.41;-17.39
053.10287111;-27.75882500;z4_GSD_3759        ;HRG14 J033224.69-274531.8;053.102871;-27.758825; 4.16; 0.83; 4.40;-18.62;-18.77;-18.08
053.08823389;-27.81318306;z4_GSD_20579       ;HRG14 J033221.18-274847.5;053.088234;-27.813183; 4.16; 0.97; 4.61;-18.20;-18.63;-17.70
053.07054889;-27.86856306;z4_GSD_35167       ;HRG14 J033216.93-275206.8;053.070549;-27.868563; 4.16; 0.66; 4.29;-19.71;-19.90;-19.40
053.20029389;-27.78037500;z4_GSD_9683        ;HRG14 J033248.07-274649.3;053.200294;-27.780375; 4.17; 3.81; 4.36;-20.03;-20.12;-19.77
053.04274694;-27.82041889;z4_GSD_22833       ;HRG14 J033210.26-274913.5;053.042747;-27.820419; 4.17; 3.88; 4.30;-19.00;-19.14;-18.83
053.10886389;-27.79832806;z4_GSD_15780       ;HRG14 J033226.13-274754.0;053.108864;-27.798328; 4.17; 3.97; 4.30;-19.40;-19.48;-19.27
053.10408000;-27.81016000;z4_GSD_19567       ;HRG14 J033224.98-274836.6;053.104080;-27.810160; 4.17; 1.10; 4.67;-18.28;-18.91;-17.60
053.19578611;-27.82737389;z4_GSD_25042       ;HRG14 J033246.99-274938.5;053.195786;-27.827374; 4.17; 4.00; 4.29;-20.49;-20.61;-20.40
053.09826694;-27.79483389;z4_GSD_14615       ;HRG14 J033223.58-274741.4;053.098267;-27.794834; 4.17; 3.76; 4.34;-19.05;-19.20;-18.82
053.12410389;-27.79907194;z4_GSD_16044       ;HRG14 J033229.78-274756.7;053.124104;-27.799072; 4.17; 3.58; 4.32;-19.58;-19.71;-19.26
