#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-26T17:59:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db48985b4a9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/814/95&tab:{J/ApJ/814/95/highz}&key:source=J/ApJ/814/95&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/814/95/highz
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=b_z
#-out=B_z
#-out=logM*
#-out=b_logM*
#-out=B_logM*
#-out=Age
#-out=b_Age
#-out=B_Age
#-out=E(B-V)
#-out=b_E(B-V)
#-out=B_E(B-V)
#-out=SFR
#-out=b_SFR
#-out=B_SFR
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_18140095
#Name: J/ApJ/814/95
#Title: Star formation rate of 4<~z<~8 galaxies (Finkelstein+, 2015)
#Table	J_ApJ_814_95_highz:
#Name: J/ApJ/814/95/highz
#Title: Stellar populations of bright galaxies at z=4, 5, 6 and 7 (tables 3-6)
#Column	ID	(A12)	Galaxy identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F5.2)	[3.5/7.7] Redshift	[ucd=src.redshift]
#Column	b_z	(F5.2)	[0.6/7.5] Minimum redshift	[ucd=src.redshift;stat.min]
#Column	B_z	(F5.2)	[3.6/7.9] Maximum redshift	[ucd=src.redshift;stat.max]
#Column	logM*	(F5.2)	[8.7/11.3] Log of stellar mass	[ucd=phys.mass]
#Column	b_logM*	(F5.2)	[6.5/11.2] Minimum logM*	[ucd=phys.mass;stat.min]
#Column	B_logM*	(F5.2)	[9.2/11.4] Maximum logM*	[ucd=phys.mass;stat.max]
#Column	Age	(I4)	[10/1015] Age	[ucd=time.age]
#Column	b_Age	(I3)	[10/904] Minimum Age	[ucd=time.age;stat.min]
#Column	B_Age	(I4)	[10/1015] Maximum Age	[ucd=time.age;stat.max]
#Column	E(B-V)	(F5.2)	[0/0.4] B-V color excess	[ucd=phot.color.excess]
#Column	b_E(B-V)	(F5.2)	[0/0.4] Minimum E(B-V)	[ucd=phot.color;stat.min]
#Column	B_E(B-V)	(F5.2)	[0.02/0.7] Maximum E(B-V)	[ucd=phot.color;stat.max]
#Column	SFR	(I4)	[12/1066] Star formation rate	[ucd=phys.SFR]
#Column	b_SFR	(I3)	[0/863] Minimum SFR	[ucd=phys.SFR;stat.min]
#Column	B_SFR	(I4)	[15/1186] Maximum SFR	[ucd=phys.SFR;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
ID;RAJ2000;DEJ2000;z;b_z;B_z;logM*;b_logM*;B_logM*;Age;b_Age;B_Age;E(B-V);b_E(B-V);B_E(B-V);SFR;b_SFR;B_SFR;Simbad
z5_ERS_2314 ;053.088764;-27.680889; 5.05; 5.01; 5.20; 9.55; 9.43; 9.60;  30; 19;  49; 0.14; 0.00; 0.20;  52; 16;  86;Simbad
z5_PAR1_1735;053.246998;-27.686445; 5.07; 4.99; 5.18;10.06; 9.74;10.09;  49; 30;  71; 0.16; 0.08; 0.18;  69; 32;  79;Simbad
z5_GNW_13254;189.039703;+62.187725; 5.24; 5.15; 5.32; 9.88; 9.74; 9.93;  71; 49;  71; 0.00; 0.00; 0.04;  22; 21;  33;Simbad
z5_ERS_9511 ;053.155231;-27.700718; 5.26; 5.05; 5.40; 9.90; 9.49; 9.99;  49; 19;  90; 0.12; 0.00; 0.20;  47; 14;  98;Simbad
z5_GNW_25408;189.457428;+62.289562; 5.27; 5.11; 5.40; 9.62; 9.35; 9.66;  71; 40;  80; 0.00; 0.00; 0.02;  12; 11;  15;Simbad
z5_PAR1_1385;053.273891;-27.683685; 5.29; 5.20; 5.36; 9.66; 9.67; 9.99;  30; 30;  71; 0.16; 0.12; 0.22;  60; 42; 113;Simbad
z5_GSD_17901;053.200577;-27.804909; 5.33; 5.23; 5.43; 9.91; 9.57; 9.97;  57; 30;  90; 0.08; 0.00; 0.12;  34; 17;  48;Simbad
z5_GND_34380;189.249146;+62.205204; 5.35; 5.24; 5.45;10.42;10.35;10.61;  49; 40; 508; 0.18; 0.14; 0.24; 136; 85; 234;Simbad
z5_GND_33094;189.266449;+62.209164; 5.36; 5.26; 5.43; 9.82; 9.54; 9.79;  49; 40;  80; 0.10; 0.02; 0.10;  39; 16;  36;Simbad
z5_GNW_27194;189.523804;+62.278839; 5.40; 5.30; 5.50;10.14;10.01;10.30;  57; 40; 202; 0.08; 0.04; 0.16;  50; 33; 105;Simbad
z5_GND_39570;189.175720;+62.186714; 5.45; 5.33; 5.55; 9.74; 9.80;10.22;  19; 30;  49; 0.22; 0.12; 0.22; 126; 49; 140;Simbad
z5_GND_10054;189.169846;+62.277298; 5.46; 5.37; 5.53; 9.92; 9.62; 9.91;  57; 40;  90; 0.08; 0.00; 0.14;  35; 16;  58;Simbad
z5_GND_35096;189.283508;+62.203049; 5.48; 5.35; 5.55;10.32; 9.81;10.38; 202; 19; 101; 0.08; 0.04; 0.22;  43; 31; 167;Simbad
z5_GSD_4579 ;053.170231;-27.762848; 5.48; 5.42; 5.54; 9.67; 9.49; 9.76;  30; 19;  49; 0.12; 0.08; 0.14;  49; 33;  60;Simbad
z5_GNW_3960 ;189.055939;+62.129990; 5.52; 5.38; 5.67; 9.88; 9.59; 9.88;  71; 30;  90; 0.02; 0.00; 0.08;  23; 16;  42;Simbad
z5_GND_18617;189.353439;+62.250774; 5.53; 5.46; 5.63; 9.68; 9.56; 9.91;  19; 19;  30; 0.16; 0.12; 0.18;  95; 67; 122;Simbad
z5_GND_24948;189.320312;+62.233444; 5.54; 5.47; 5.63; 9.53; 9.54;10.10;  10; 10;  30; 0.26; 0.26; 0.32; 179;178; 331;Simbad
z5_GNW_28218;189.503250;+62.273884; 5.55; 5.48; 5.62;10.47;10.16;10.47;  30; 19;  49; 0.26; 0.14; 0.26; 435;125; 431;Simbad
z5_GSD_4436 ;053.170811;-27.762228; 5.58; 5.49; 5.65; 9.53; 9.53; 9.78;  30; 19;  49; 0.10; 0.02; 0.18;  35; 17;  84;Simbad
z5_GNW_29490;189.312943;+62.344555; 5.69; 5.55; 5.84; 9.58; 9.58; 9.89;  10; 10;  19; 0.28; 0.28; 0.30; 200;182; 254;Simbad
z6_GSD_29074;053.156788;-27.839560; 5.56; 5.46; 5.66; 9.71; 9.54;10.02;  30; 19;  90; 0.16; 0.00; 0.18;  67; 16;  85;Simbad
z6_GSD_17919;053.074165;-27.804928; 5.65; 5.53; 5.75; 9.72; 9.55; 9.85;  80; 57; 202; 0.00; 0.00; 0.04;  13; 12;  20;Simbad
z6_GNW_10970;189.075775;+62.172729; 5.67; 5.57; 5.75;10.52;10.37;10.56; 404; 40; 570; 0.20; 0.18; 0.24; 170;146; 243;Simbad
z6_GND_16399;189.234833;+62.257507; 5.67; 5.58; 5.76; 9.66; 9.44; 9.75;  39; 19;  57; 0.08; 0.02; 0.18;  27; 16;  87;Simbad
z6_GND_16819;189.328232;+62.256317; 5.69; 5.61; 5.76;10.09; 9.82;10.20;  19; 19;  30; 0.28; 0.20; 0.26; 319;130; 302;Simbad
z6_ERS_4104 ;053.066242;-27.689983; 5.72; 5.61; 5.84; 9.57; 9.48; 9.67;  39; 30;  49; 0.02; 0.00; 0.04;  21; 17;  27;Simbad
z6_GSW_12831;053.106689;-27.930193; 5.79; 5.72; 5.84;10.05; 9.96;10.24;  49; 40; 101; 0.06; 0.00; 0.10;  57; 34;  83;Simbad
z6_GSW_6659 ;053.151745;-27.890762; 5.80; 5.68; 5.91; 9.65; 9.39; 9.82;  39; 19;  71; 0.08; 0.00; 0.14;  31; 14;  52;Simbad
z6_GSD_27934;053.101673;-27.836084; 5.80; 5.70; 5.90;10.61;10.59;10.67;  19; 19;  30; 0.38; 0.36; 0.40;1066;863;1186;Simbad
z6_MAIN_5871;053.166721;-27.804167; 5.80; 5.76; 5.83; 9.90; 9.64; 9.91;  57; 40;  57; 0.04; 0.00; 0.04;  34; 21;  34;Simbad
z6_GND_28043;189.418427;+62.224796; 5.85; 5.75; 5.94;10.00; 9.69;10.14;  49; 19;  80; 0.10; 0.02; 0.18;  46; 25; 104;Simbad
z6_GNW_22717;189.416199;+62.333141; 5.88; 5.66; 6.04;10.17; 9.74;10.27; 806; 30; 806; 0.20; 0.02; 0.22;  94; 17; 117;Simbad
z6_GSD_23051;053.225368;-27.821125; 5.96; 5.86; 6.05;10.07; 9.91;10.26;  39; 30; 202; 0.14; 0.02; 0.18;  89; 30; 122;Simbad
z6_GNW_23437;189.388000;+62.301167; 6.02; 5.85; 6.18; 9.84; 9.60; 9.87; 101; 57; 101; 0.00; 0.00; 0.08;  12; 11;  27;Simbad
z6_PAR1_1068;053.234592;-27.680861; 6.13; 6.05; 6.23;10.10; 9.90;10.16;  39; 40;  80; 0.18; 0.06; 0.18; 109; 34; 103;Simbad
z6_GNW_22555;189.301788;+62.307808; 6.15; 6.06; 6.25; 9.63; 9.41; 9.65;  57; 40;  57; 0.02; 0.00; 0.02;  18; 12;  19;Simbad
z6_ERS_7413 ;053.158138;-27.702112; 6.25; 6.12; 6.39; 9.91; 9.66;10.07;  30; 19;  49; 0.10; 0.00; 0.14;  85; 38; 127;Simbad
z6_GSD_21289;053.076241;-27.815453; 6.30; 6.20; 6.39; 9.63; 9.54; 9.88;  39; 30; 202; 0.10; 0.00; 0.16;  32; 13;  63;Simbad
z6_GSD_233  ;053.188583;-27.733210; 6.39; 6.29; 6.48; 9.88; 9.42; 9.93;  30; 19;  49; 0.20; 0.04; 0.20; 112; 23; 115;Simbad
z7_GSD_25074;053.233047;-27.827383; 6.66; 6.47; 6.79;10.09; 9.87;10.15; 404; 49; 508; 0.18; 0.00; 0.14;  82; 15;  55;Simbad
z7_ERS_12574;053.094410;-27.716846; 6.71; 6.58; 6.85; 9.83; 9.63;10.06;  49; 30; 202; 0.08; 0.00; 0.18;  35; 16;  90;Simbad
z7_GNW_24443;189.356888;+62.295319; 6.72; 6.65; 6.81;10.02; 9.80;10.05;  30; 30;  71; 0.18; 0.00; 0.18; 155; 29; 160;Simbad
z7_GNW_24671;189.361710;+62.294373; 6.72; 6.27; 7.07; 9.15; 8.53; 9.25;  19; 10;  40; 0.10; 0.00; 0.10;  37; 11;  33;Simbad
z7_GSD_21368;053.154922;-27.815744; 6.75; 6.62; 6.97;10.14; 9.89;10.34; 404; 30; 286; 0.20; 0.00; 0.26;  82; 14; 142;Simbad
z7_GNW_17001;189.032486;+62.216415; 6.76; 6.55; 6.92;10.74;10.70;10.82; 404;286; 570; 0.06; 0.02; 0.12;  22; 14;  37;Simbad
z7_GSD_21172;053.155342;-27.815178; 6.84; 6.76; 6.96;10.19; 9.95;10.20;  30; 19;  80; 0.24; 0.00; 0.30; 231; 24; 396;Simbad
z7_GSD_10175;053.210335;-27.782211; 7.05; 6.78; 7.32; 9.70; 9.23; 9.81;  19; 10;  71; 0.22; 0.00; 0.24; 129; 15; 141;Simbad
z7_GND_18181;189.082687;+62.252476; 7.09; 6.94; 7.28; 9.36; 9.28; 9.96;  10; 10;  49; 0.22; 0.12; 0.24; 123; 47; 142;Simbad
z7_GND_11402;189.186172;+62.270863; 7.16; 7.00; 7.34; 9.69; 9.22; 9.76;  30; 10;  49; 0.10; 0.02; 0.18;  51; 21; 114;Simbad
z7_GNW_4703 ;189.094528;+62.135540; 7.17; 7.04; 7.37; 9.55; 9.06; 9.68;  39; 10;  49; 0.02; 0.00; 0.10;  27; 22;  61;Simbad
z7_GNW_19939;189.273392;+62.324783; 7.25; 7.03; 7.75; 8.79; 8.64; 9.29;  10; 10;  30; 0.10; 0.00; 0.12;  34; 14;  42;Simbad
z7_GND_42912;189.157883;+62.302372; 7.49; 7.33; 7.70; 9.51; 9.41; 9.65;  10; 10;  10; 0.24; 0.20; 0.28; 178;133; 224;Simbad
z7_PAR2_3098;053.281712;-27.867699; 7.66; 7.44; 7.82; 9.82; 9.56; 9.90;  30; 19;  49; 0.14; 0.02; 0.18;  69; 23; 111;Simbad

